"","animalID","treatment","region","count"
"1","070819M5B","Hearing","Base",209.14668153932
"2","070819M5B","Hearing","Mid1",451.388888888889
"3","070819M5B","Hearing","Mid2",699.513381995134
"4","070819M5B","Hearing","Apex",441.384180790961
"5","070819M5B","Hearing","Total",366.357715430862
"6","121419F3B-MD24","Hearing","Base",183.973834832379
"7","121419F3B-MD24","Hearing","Mid1",448.933782267116
"8","121419F3B-MD24","Hearing","Mid2",154.679040989946
"9","121419F3B-MD24","Hearing","Apex",383.959044368601
"10","121419F3B-MD24","Hearing","Total",278.445075343962
"11","121419F7B-MD23","Hearing","Base",483.558994197292
"12","121419F7B-MD23","Hearing","Mid1",308.483290488432
"13","121419F7B-MD23","Hearing","Mid2",157.977883096367
"14","121419F7B-MD23","Hearing","Apex",177.619893428064
"15","121419F7B-MD23","Hearing","Total",287.042099507928
"16","080919F5B","Hearing","Base",601.851851851852
"17","080919F5B","Hearing","Mid1",404.468412942989
"18","080919F5B","Hearing","Mid2",457.974137931035
"19","080919F5B","Hearing","Apex",451.950523311132
"20","080919F5B","Hearing","Total",460.159125994537
"21","063019M1B","Hearing","Base",257.06940874036
"22","063019M1B","Hearing","Mid1",411.811972679791
"23","063019M1B","Hearing","Mid2",361.990950226244
"24","063019M1B","Hearing","Apex",448.430493273543
"25","063019M1B","Hearing","Total",383.581145207213
"26","113019M5A","Hearing","Base",258.323765786452
"27","113019M5A","Hearing","Mid1",207.08221163802
"28","113019M5A","Hearing","Mid2",285.785288270378
"29","113019M5A","Hearing","Apex",252.35531628533
"30","113019M5A","Hearing","Total",241.429261226461
"31","121419F1B-MD24","Deaf","Base",303.951367781155
"32","121419F1B-MD24","Deaf","Mid1",386.59793814433
"33","121419F1B-MD24","Deaf","Mid2",801.974090067859
"34","121419F1B-MD24","Deaf","Apex",550.603041426324
"35","121419F1B-MD24","Deaf","Total",494.333950046253
"36","062319M8B","Deaf","Base",520.059435364042
"37","062319M8B","Deaf","Mid1",451.496388028896
"38","062319M8B","Deaf","Mid2",685.255198487713
"39","062319M8B","Deaf","Apex",562.983814215341
"40","062319M8B","Deaf","Total",540.275049115914
"41","122619F5B","Deaf","Base",451.388888888889
"42","122619F5B","Deaf","Mid1",384.052670080468
"43","122619F5B","Deaf","Mid2",453.367875647668
"44","122619F5B","Deaf","Apex",343.406593406593
"45","122619F5B","Deaf","Total",403.504726769656
"46","Mom2Br6FB","Deaf","Base",533.807829181495
"47","Mom2Br6FB","Deaf","Mid1",632.70603504218
"48","Mom2Br6FB","Deaf","Mid2",872.093023255814
"49","Mom2Br6FB","Deaf","Apex",528.789659224442
"50","Mom2Br6FB","Deaf","Total",591.861898890259
"51","Mom2 BL7FB","Deaf","Base",869.741100323625
"52","Mom2 BL7FB","Deaf","Mid1",573.465592064476
"53","Mom2 BL7FB","Deaf","Mid2",603.693181818182
"54","Mom2 BL7FB","Deaf","Apex",506.937033084312
"55","Mom2 BL7FB","Deaf","Total",645.879732739421
"56","Mom3 Br2FB","Deaf","Base",657.894736842105
"57","Mom3 Br2FB","Deaf","Mid1",919.576059850374
"58","Mom3 Br2FB","Deaf","Mid2",1012.9659643436
"59","Mom3 Br2FB","Deaf","Apex",NA
"60","Mom3 Br2FB","Deaf","Total",903.498654363706
"61","121419F1A","Deaf","Base",652.340752110514
"62","121419F1A","Deaf","Mid1",675.970344526821
"63","121419F1A","Deaf","Mid2",564.971751412429
"64","121419F1A","Deaf","Apex",892.857142857143
"65","121419F1A","Deaf","Total",669.451585261354
